url,name,address,city,state,phone
https://cliniquedentairemaguire.com/equipe/,Results,"1415 Av. Maguire suite 120, Québec, QC G1T 1Z3, Canada",QC G1T 1Z3,Canada,+1 418-688-6061
http://cliniquebellefeuille.com/,Results,"978 B Bd de la Salette, Saint-Jérôme, QC J5L 2K1, Canada",QC J5L 2K1,Canada,+1 450-504-3368
http://dentistealdente.com/,Results,"904 Mnt Sainte-Thérèse, Saint-Jérôme, QC J5L 2L1, Canada",QC J5L 2L1,Canada,+1 450-436-4914
https://www.cliniquesamuelholland.com/site/accueil?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,Results,"1245 Ch Ste-Foy #35, Québec City, Quebec G1S 4P2, Canada",Quebec G1S 4P2,Canada,+1 581-701-9522
https://www.centredentairestefoy.com/,Results,"2145 Ch Ste-Foy, Québec, QC G1V 1S1, Canada",QC G1V 1S1,Canada,+1 418-683-3368
https://www.cdquartier.com/site/accueil?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,Results,"21 Bd René-Lévesque E, Québec, QC G1R 2A9, Canada",QC G1R 2A9,Canada,+1 581-702-2796
http://www.cdsbeaudoin.com/,Results,"17 Rue Cauchy, Lévis, QC G6V 5C8, Canada",QC G6V 5C8,Canada,+1 418-833-3352
http://www.cliniquedentairemaguire.com/,Results,"1415 Av. Maguire suite 120, Québec, QC G1T 1Z3, Canada",QC G1T 1Z3,Canada,+1 418-527-2516
http://www.masantedentaire.net/,Results,"750 Rue Saint-Vallier O, Québec, QC G1N 1E1, Canada",QC G1N 1E1,Canada,+1 418-780-0880
http://www.centredentairemontcalm.com/,Results,"835 Boulevard René-Lévesque O, Québec, QC G1S 1T4, Canada",QC G1S 1T4,Canada,+1 418-681-3836
https://www.cliniquestlouis.ca/site/accueil?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,Results,"1595 Chem. Saint-Louis, Québec, QC G1S 1G4, Canada",QC G1S 1G4,Canada,+1 581-704-4228
http://www.souriredunord.com/,Results,"555 Bd Saint-Antoine suite 200, Saint-Jérôme, QC J7Z 3B8, Canada",QC J7Z 3B8,Canada,+1 450-565-3368
http://dentistesdurepos.com/,Results,"63 Rue Boisclerc, Québec, QC G1L 1Z1, Canada",QC G1L 1Z1,Canada,+1 418-523-3144
http://www.cliniquelefrancois.com/,Results,"1154 3e Ave, Québec City, Quebec G1L 2X6, Canada",Quebec G1L 2X6,Canada,+1 418-523-9026
http://www.idga.ca/,Results,"871 Grande Allée O #210, Québec, QC G1S 1C1, Canada",QC G1S 1C1,Canada,+1 418-614-6282
https://centreslapointe.com/site/quebec/?utm_source=GMB_Listing&utm_medium=organic&utm_campaign=GMB,Results,"845 Bd René-Lévesque E, Québec, QC G1S 1T4, Canada",QC G1S 1T4,Canada,+1 514-527-6468
https://www.bukoreso.com/,Results,"450 Rue de la Gare-du-Palais, Québec, QC G1K 3X2, Canada",QC G1K 3X2,Canada,+1 418-524-2444
https://www.mesimplants.ca/,Results,"1440 Rue Cyrille-Duquet bureau 300, Québec, QC G1N 2E5, Canada",QC G1N 2E5,Canada,+1 418-948-3210
http://www.411sante.com/dentiste/quebec/sainte-foy-1/dentiste-sainte-foy.htm,Results,"2480 Ch Ste-Foy #290, Québec City, Quebec G1V 1T6, Canada",Quebec G1V 1T6,Canada,+1 418-658-3368
